,timestamp,price,quantity,type,exchange
0,1554086597,4123.18,1.0,bids,gemini
500,1554086597,4124.04,0.05097817,asks,gemini
1,1554086597,4123.17,1.0,bids,gemini
501,1554086597,4125.05,2.432,asks,gemini
2,1554086597,4122.86,3.0,bids,gemini
502,1554086597,4125.1,3.0,asks,gemini
3,1554086597,4122.67,1.0,bids,gemini
503,1554086597,4126.04,6.0,asks,gemini
4,1554086597,4122.5,1.21285627,bids,gemini
504,1554086597,4126.07,0.89047763,asks,gemini
5,1554086597,4122.4,1.0,bids,gemini
505,1554086597,4126.11,1.0,asks,gemini
6,1554086597,4122.24,0.12032293,bids,gemini
506,1554086597,4126.25,2.738,asks,gemini
7,1554086597,4122.07,6.0,bids,gemini
507,1554086597,4126.9,1.0,asks,gemini
8,1554086597,4121.95,1.0,bids,gemini
508,1554086597,4127.15,1.99999918,asks,gemini
9,1554086597,4121.43,0.89047763,bids,gemini
509,1554086597,4127.19,1.0,asks,gemini
10,1554086597,4121.41,1.0,bids,gemini
510,1554086597,4127.66,1.0,asks,gemini
11,1554086597,4120.9,7.2299,bids,gemini
511,1554086597,4127.81,0.5,asks,gemini
12,1554086597,4120.89,1.0,bids,gemini
512,1554086597,4127.85,1.0,asks,gemini
13,1554086597,4120.58,5.05,bids,gemini
513,1554086597,4128.05,0.055,asks,gemini
14,1554086597,4120.25,1.0,bids,gemini
514,1554086597,4128.18,1.0,asks,gemini
15,1554086597,4119.55,0.5,bids,gemini
515,1554086597,4128.27,5.0,asks,gemini
16,1554086597,4119.29,9.5338,bids,gemini
516,1554086597,4128.68,1.0,asks,gemini
17,1554086597,4118.74,5.0,bids,gemini
517,1554086597,4129.0,0.02443177,asks,gemini
18,1554086597,4117.49,6.3415,bids,gemini
518,1554086597,4129.08,5.05,asks,gemini
19,1554086597,4117.33,0.01214379,bids,gemini
519,1554086597,4130.13,0.531,asks,gemini
20,1554086597,4116.02,7.3025,bids,gemini
520,1554086597,4130.77,6.1,asks,gemini
21,1554086597,4115.38,5.0,bids,gemini
521,1554086597,4131.83,5.0,asks,gemini
22,1554086597,4114.28,26.4,bids,gemini
522,1554086597,4132.83,8.7,asks,gemini
23,1554086597,4114.25,8.7,bids,gemini
523,1554086597,4133.0,0.24447589,asks,gemini
24,1554086597,4114.23,2.724,bids,gemini
524,1554086597,4134.38,50.0,asks,gemini
25,1554086597,4113.1,1.56,bids,gemini
525,1554086597,4134.7,2.0,asks,gemini
26,1554086597,4113.03,1.751,bids,gemini
526,1554086597,4134.77,9.77,asks,gemini
27,1554086597,4112.45,55.56,bids,gemini
527,1554086597,4134.99,0.3,asks,gemini
28,1554086597,4112.1,2.0,bids,gemini
528,1554086597,4135.19,2.013,asks,gemini
29,1554086597,4111.59,1.039,bids,gemini
529,1554086597,4136.61,6.44,asks,gemini
30,1554086597,4110.84,8.6,bids,gemini
530,1554086597,4138.0,0.05,asks,gemini
31,1554086597,4109.35,9.39,bids,gemini
531,1554086597,4138.2,0.002482,asks,gemini
32,1554086597,4108.58,1.657,bids,gemini
532,1554086597,4138.42,9.372,asks,gemini
33,1554086597,4108.51,26.95,bids,gemini
533,1554086597,4139.0,1.05980205,asks,gemini
34,1554086597,4107.8,9.6837,bids,gemini
534,1554086597,4140.0,30.82415459,asks,gemini
35,1554086597,4107.3,8.95,bids,gemini
535,1554086597,4140.46,7.2,asks,gemini
36,1554086597,4105.45,10.6405,bids,gemini
536,1554086597,4142.01,9.5,asks,gemini
37,1554086597,4105.0,0.60901339,bids,gemini
537,1554086597,4143.72,10.87,asks,gemini
38,1554086597,4104.4,4.42,bids,gemini
538,1554086597,4143.74,40.0,asks,gemini
39,1554086597,4104.24,22.35,bids,gemini
539,1554086597,4145.1,0.09,asks,gemini
40,1554086597,4104.1,0.09,bids,gemini
540,1554086597,4145.26,5.2376,asks,gemini
41,1554086597,4103.41,8.7435,bids,gemini
541,1554086597,4146.87,5.2,asks,gemini
42,1554086597,4102.12,40.0,bids,gemini
542,1554086597,4147.52,0.01227,asks,gemini
43,1554086597,4101.77,27.7688,bids,gemini
543,1554086597,4147.7,0.25,asks,gemini
44,1554086597,4101.23,9.4239,bids,gemini
544,1554086597,4148.69,5.3585,asks,gemini
45,1554086597,4100.0,0.61409754,bids,gemini
545,1554086597,4149.0,0.01084599,asks,gemini
46,1554086597,4098.57,0.00243987,bids,gemini
546,1554086597,4150.0,31.893158,asks,gemini
47,1554086597,4097.08,31.8,bids,gemini
547,1554086597,4150.3,0.02652519,asks,gemini
48,1554086597,4090.0,0.07334962,bids,gemini
548,1554086597,4150.67,0.005952,asks,gemini
49,1554086597,4088.66,0.00079,bids,gemini
549,1554086597,4153.37,5.714,asks,gemini
50,1554086597,4087.92,0.00121,bids,gemini
550,1554086597,4154.26,0.01757234,asks,gemini
51,1554086597,4086.86,0.00244686,bids,gemini
551,1554086597,4155.0,1.0,asks,gemini
52,1554086597,4085.29,0.00079,bids,gemini
552,1554086597,4160.0,20.0,asks,gemini
53,1554086597,4082.35,3.894,bids,gemini
553,1554086597,4161.13,14.4043,asks,gemini
54,1554086597,4080.0,0.07231372,bids,gemini
554,1554086597,4162.0,0.1,asks,gemini
55,1554086597,4079.73,0.00079,bids,gemini
555,1554086597,4165.0,1.5,asks,gemini
56,1554086597,4077.3,3.0,bids,gemini
556,1554086597,4167.0,0.0921,asks,gemini
57,1554086597,4075.0,0.12149202,bids,gemini
557,1554086597,4169.0,0.18037644,asks,gemini
58,1554086597,4070.9,0.00079,bids,gemini
558,1554086597,4170.0,0.003,asks,gemini
59,1554086597,4063.99,6.169,bids,gemini
559,1554086597,4170.66,5.0,asks,gemini
60,1554086597,4061.98,0.00677748,bids,gemini
560,1554086597,4171.73,8.5,asks,gemini
61,1554086597,4061.19,20.0,bids,gemini
561,1554086597,4172.72,0.006721,asks,gemini
62,1554086597,4059.79,0.00079,bids,gemini
562,1554086597,4174.89,0.003211,asks,gemini
